start_seconds,end_seconds,speaker_label
0.385,1.027,SPEAKER_00
1.330,2.208,SPEAKER_00
2.393,2.849,SPEAKER_00
3.136,5.853,SPEAKER_03
5.971,6.460,SPEAKER_03
7.237,7.861,SPEAKER_03
8.097,8.738,SPEAKER_03
9.110,11.438,SPEAKER_03
11.725,12.130,SPEAKER_03
12.316,13.396,SPEAKER_03
14.088,18.509,SPEAKER_03
18.965,19.673,SPEAKER_03
20.264,23.909,SPEAKER_03
24.449,25.833,SPEAKER_03
25.968,27.807,SPEAKER_03
28.668,29.866,SPEAKER_03
30.288,34.709,SPEAKER_03
35.232,35.924,SPEAKER_03
36.177,41.577,SPEAKER_03
42.100,48.158,SPEAKER_03
48.614,49.492,SPEAKER_03
50.116,51.517,SPEAKER_03
51.618,53.035,SPEAKER_03
54.166,54.605,SPEAKER_03
55.297,56.326,SPEAKER_03
56.427,58.722,SPEAKER_03
59.515,60.190,SPEAKER_03
60.595,61.085,SPEAKER_03
61.810,64.443,SPEAKER_03
64.797,66.788,SPEAKER_03
67.092,67.784,SPEAKER_03
68.273,68.982,SPEAKER_03
69.775,71.024,SPEAKER_03
71.024,71.935,SPEAKER_00
72.577,72.897,SPEAKER_02
73.370,75.867,SPEAKER_02
76.053,77.251,SPEAKER_02
77.538,78.702,SPEAKER_02
79.124,80.035,SPEAKER_02
80.407,80.643,SPEAKER_02
81.166,82.229,SPEAKER_02
82.567,83.748,SPEAKER_02
84.018,86.347,SPEAKER_02
86.650,89.384,SPEAKER_02
89.992,91.831,SPEAKER_02
92.152,92.843,SPEAKER_02
93.367,93.974,SPEAKER_02
94.514,95.155,SPEAKER_02
95.695,97.653,SPEAKER_00
98.041,99.661,SPEAKER_00
100.285,100.302,SPEAKER_00
100.302,102.142,SPEAKER_03
100.640,101.163,SPEAKER_00
103.087,106.276,SPEAKER_03
106.597,108.065,SPEAKER_03
108.520,108.875,SPEAKER_03
109.465,111.862,SPEAKER_03
111.997,113.482,SPEAKER_03
114.055,116.013,SPEAKER_03
116.300,118.561,SPEAKER_03
119.017,120.029,SPEAKER_03
120.434,122.020,SPEAKER_03
122.813,123.033,SPEAKER_03
123.033,125.868,SPEAKER_00
126.509,127.437,SPEAKER_00
127.707,129.007,SPEAKER_00
130.103,134.002,SPEAKER_00
134.542,135.335,SPEAKER_00
135.588,137.410,SPEAKER_00
138.102,140.313,SPEAKER_00
141.190,143.232,SPEAKER_00
144.228,145.882,SPEAKER_00
146.084,146.422,SPEAKER_01
146.725,147.923,SPEAKER_01
149.408,150.303,SPEAKER_01
150.573,152.497,SPEAKER_01
152.969,156.378,SPEAKER_01
153.526,154.370,SPEAKER_00
157.137,157.694,SPEAKER_01
158.150,159.348,SPEAKER_01
160.293,162.908,SPEAKER_01
163.195,163.735,SPEAKER_01
164.174,164.849,SPEAKER_01
165.389,165.845,SPEAKER_01
166.857,167.937,SPEAKER_01
168.241,170.452,SPEAKER_01
170.570,172.426,SPEAKER_01
173.033,173.506,SPEAKER_01
173.978,174.687,SPEAKER_01
175.042,175.480,SPEAKER_01
175.902,177.218,SPEAKER_01
177.640,180.678,SPEAKER_01
181.403,183.125,SPEAKER_01
183.783,185.707,SPEAKER_01
186.112,187.040,SPEAKER_01
187.630,189.858,SPEAKER_00
190.364,191.950,SPEAKER_00
192.929,196.878,SPEAKER_00
197.215,198.143,SPEAKER_00
199.004,199.848,SPEAKER_00
200.135,201.856,SPEAKER_00
202.312,205.990,SPEAKER_00
206.159,206.817,SPEAKER_00
206.952,207.188,SPEAKER_00
207.374,209.517,SPEAKER_00
209.939,213.382,SPEAKER_00
213.702,214.394,SPEAKER_00
215.069,215.812,SPEAKER_00
215.980,220.486,SPEAKER_00
216.217,216.723,SPEAKER_02
220.739,222.410,SPEAKER_00
223.000,227.759,SPEAKER_00
228.080,230.206,SPEAKER_02
230.560,232.433,SPEAKER_02
232.720,235.049,SPEAKER_02
235.117,236.551,SPEAKER_02
237.142,237.597,SPEAKER_02
237.732,240.719,SPEAKER_02
240.972,243.267,SPEAKER_02
242.255,242.626,SPEAKER_00
